Country,1990,2000,2005,2010,2015,2018,2019,2019
Afghanistan,2.58,1.1,1.08,5.64,9.85,10.4,11,0.03
Albania,6.65,3.26,4.2,4.6,4.98,5.45,5.66,0.01
Algeria,67.97,83.7,98.21,116.44,162.42,171.33,180.57,0.47
Angola,11.3,16.61,15.98,23.81,31.48,25.49,25.82,0.07
Anguilla,0.01,0.02,0.01,0.02,0.03,0.02,0.02,0
Antigua and Barbuda,0.22,0.24,0.28,0.36,0.62,0.52,0.51,0
Argentina,108.12,150.84,165.76,191.57,212.87,204.92,199.41,0.52
Armenia,20.7,3.66,4.54,4.46,5.01,6.2,5.92,0.02
Aruba,0.3,0.45,0.47,0.5,0.96,0.8,0.78,0
Australia,277.61,354.23,392.06,413.28,404.02,416.05,433.38,1.14
Austria,62.93,68.11,81.01,75.33,69.04,70.45,72.36,0.19
Azerbaijan,54.63,28.07,30.49,24.75,32.79,33.72,35.98,0.09
Bahamas,1.52,1.63,2.07,1.75,3,2.51,2.45,0.01
Bahrain,11.99,17.76,23.37,28.84,33.62,32.91,35.44,0.09
Bangladesh,14.38,27.52,39.78,59.53,80.58,93.55,110.16,0.29
Barbados,0.78,1.65,2.16,2.34,3.17,3.41,3.83,0.01
Belarus,109.02,57.79,61.29,67.08,60.38,65.48,66.34,0.17
Belgium,116,124.87,118.69,115.89,104.06,104.61,104.41,0.27
Belize,0.19,0.31,0.44,0.25,0.44,0.36,0.37,0
Benin,0.42,1.57,2.84,5.11,5.99,7.88,8.15,0.02
Bermuda,0.34,0.28,0.28,0.36,0.43,0.36,0.35,0
Bhutan,0.21,0.45,0.51,1.32,1.16,2.08,2.12,0.01
Bolivia,6.53,8.3,10,14.83,19.61,24.17,24.51,0.06
Bosnia and Herzegovina,24.56,14.34,16.9,22.19,24.03,27.95,33.5,0.09
Botswana,2.82,4.18,4.47,3.5,7.17,7.56,7.04,0.02
Brazil,228.14,362.38,381.78,446.57,521.46,479.97,478.15,1.26
British Virgin Islands,0.03,0.03,0.03,0.07,0.15,0.12,0.12,0
Brunei,3.34,4.89,5.17,7.34,6.52,7.31,7.02,0.02
Bulgaria,82.35,47.58,51.79,48.53,48.61,44.94,43.31,0.11
Burkina Faso,0.38,0.9,1.04,1.87,3.12,3.5,3.64,0.01
Burundi,0.21,0.28,0.31,0.23,0.29,0.32,0.34,0
Cabo Verde,0.05,0.16,0.23,0.33,0.88,0.98,1.02,0
Cambodia,0.41,2,2.69,5.01,8.67,15.9,16.49,0.04
Cameroon,4.81,5.78,5.55,7.69,9.26,9.94,10.1,0.03
Canada,453.4,557.41,580.23,566.71,587.57,593.3,584.85,1.54
Cayman Islands,0.15,0.17,0.19,0.28,0.49,0.41,0.4,0
Central African Republic,0.16,0.28,0.25,0.35,0.45,0.48,0.49,0
Chad,0.27,0.2,0.38,0.42,0.9,0.88,0.89,0
Chile,32.99,53.42,58.87,72.05,84.7,91.54,89.89,0.24
China,2404.74,3682.48,6273.36,9160.79,10671.34,11157.07,11535.2,30.34
Colombia,52.48,61.64,60.83,66.72,80.09,77.99,86.55,0.23
Comoros,0.05,0.05,0.11,0.13,0.19,0.21,0.21,0
Congo,2.4,4.54,4.36,5.33,5.32,5.8,5.8,0.02
Cook Islands,0.04,0.04,0.06,0.06,0.04,0.04,0.04,0
Costa Rica,2.92,5.13,6.33,7.28,7.74,8.64,8.98,0.02
Côte d’Ivoire,3.03,7.05,6.55,7.58,11.6,13.09,13.56,0.04
Croatia,25.16,19.63,23.67,21.46,18.59,18.97,19.12,0.05
Cuba,38.52,28.95,26.18,33.81,30.93,31.25,31.04,0.08
Curaçao,5.47,5.39,4.78,6.2,7.38,6.07,5.91,0.02
Cyprus,4.54,7.02,7.88,7.98,6.9,7.39,7.41,0.02
Czechia,162.84,130.7,127.16,120.73,107.7,109.15,105.69,0.28
Democratic Republic of the Congo,3.44,1.97,2.59,3.05,3.57,2.92,2.98,0.01
Denmark,53.59,53.97,51.38,49.06,34.02,33.72,31.12,0.08
Djibouti,1.1,1.29,1.47,1.13,0.93,1.02,1.05,0
Dominica,0.03,0.06,0.05,0.08,0.13,0.11,0.1,0
Dominican Republic,8.04,19.74,19.42,21.4,23.56,24.66,27.28,0.07
Ecuador,17.58,21.88,28.36,37.91,42.76,41.83,40.7,0.11
Egypt,91.08,126.41,177.02,212.3,240.1,255.8,255.37,0.67
El Salvador,2.64,5.82,6.94,6.74,7.43,6.9,7.15,0.02
Equatorial Guinea,0.1,2.53,3.37,4.36,3.79,3.44,3.47,0.01
Eritrea,0.21,0.68,0.69,0.47,0.69,0.73,0.75,0
Estonia,38.47,16.97,19.66,22.1,19.82,22.35,18.5,0.05
Eswatini,0.6,1.67,1.54,2.05,1.14,1.2,1.14,0
Ethiopia,2.4,3.74,5.38,6.91,13.61,17.95,18.25,0.05
EU27+UK,4408.73,4121.42,4249.14,3920.61,3492.46,3434.6,3303.97,8.69
Falkland Islands,0.01,0.01,0.02,0.02,0.04,0.03,0.03,0
Faroes,0,0,0,0,0,0,0,0
Fiji,1.03,1.15,2.18,1.2,1.21,1.28,1.36,0
Finland,57.25,57.96,58.36,65.84,45.83,47.35,43.41,0.11
France and Monaco,386.37,402.18,408.43,379.53,322.52,321.3,314.74,0.83
French Guiana,0.37,0.52,0.49,0.53,0.72,0.6,0.61,0
French Polynesia,0.84,0.55,0.79,0.89,0.54,0.56,0.6,0
Gabon,6.17,6.61,6.39,5.95,6.42,3.5,3.48,0.01
Georgia,34.74,5.37,4.98,6.23,10.14,13.02,13.47,0.04
Germany,1018.22,871.32,837.54,816.67,786.83,751.38,702.6,1.85
Ghana,3.19,6.12,7.33,11.42,15.9,16.24,16.84,0.04
Gibraltar,0.14,0.34,0.41,0.47,0.57,0.68,0.69,0
GLOBAL TOTAL,22683.3,25699.8,30051.44,33971.15,36247.49,37668.11,38016.57,100
Greece,79.19,97.08,104.85,89.98,70.56,68.38,65.57,0.17
Greenland,0,0,0.63,0.67,0.52,0.53,0.54,0
Grenada,0.07,0.07,0.13,0.14,0.28,0.23,0.23,0
Guadeloupe,0.87,1,1.03,1.19,2.26,1.91,1.87,0
Guatemala,3.92,9.66,11.72,11.73,17.1,20.06,21.2,0.06
Guinea,1.07,1.09,1.12,1.39,2.52,2.81,2.92,0.01
Guinea-Bissau,0.2,0.26,0.29,0.4,0.38,0.42,0.44,0
Guyana,0.34,0.8,0.73,0.79,1.67,1.49,1.52,0
Haiti,1.15,1.61,2.23,2.36,3.45,3.65,3.58,0.01
Honduras,2.37,5.06,7.85,8.06,10,9.96,10.36,0.03
Hong Kong,34.18,41.14,41.92,42.69,44.86,44.93,44.02,0.12
Hungary,72.07,58.4,60,51.92,47.26,53.6,53.18,0.14
Iceland,2.35,2.86,3.17,3.72,3.85,4.15,3.93,0.01
India,599.82,993.97,1219.35,1761.4,2292.96,2556.55,2597.36,6.83
Indonesia,163.99,296.39,362.04,420.32,493.14,579.23,625.66,1.65
International Aviation,258.31,354.52,420.26,457.47,530.38,605.39,627.48,1.65
International Shipping,371.28,498.43,571.5,662.89,660.03,713.43,730.26,1.92
Iran,204.76,352.31,468.88,570.82,622.93,679.09,701.99,1.85
Iraq,69.32,86.71,89.19,125.7,169.3,185.93,197.61,0.52
Ireland,32.9,44.27,47.3,41.31,37.88,38.01,36.55,0.1
Israel and Palestine. State of,35.3,59.39,62.16,72.2,66.54,66.17,68.33,0.18
Italy. San Marino and the Holy See,430.06,459.26,497.13,426.17,354.75,341.22,331.56,0.87
Jamaica,7.53,10.22,10.63,7.45,7.41,7.49,7.44,0.02
Japan,1149.47,1241.63,1276.93,1197.43,1227.95,1178.86,1153.72,3.03
Jordan,10.21,15.49,19.78,20.61,25.7,27.06,28.34,0.07
Kazakhstan,251.29,131.16,182.38,242.96,251.71,282.09,277.36,0.73
Kenya,6.47,8.62,8.87,13.21,16.98,19.51,19.81,0.05
Kiribati,0.02,0.02,0.03,0.05,0.03,0.03,0.03,0
Kuwait,32.61,54.85,75.22,86.25,94.09,94.89,98.95,0.26
Kyrgyzstan,23.7,4.86,5.48,6.58,10.63,10.52,11.92,0.03
Laos,0.21,0.65,1.05,1.72,2.5,6.66,6.78,0.02
Latvia,20.13,7.56,8.24,9.12,7.81,7.99,8.38,0.02
Lebanon,5.98,15.24,16.52,20.56,24.99,26.74,27.44,0.07
Lesotho,0.1,0.16,0.17,0.53,0.69,0.75,0.75,0
Liberia,0.42,0.33,0.47,0.57,1.06,1.16,1.21,0
Libya,37.15,49.94,56.73,61.44,54.06,50.49,52.05,0.14
Lithuania,35.31,11.78,14.07,13.81,13.42,13.94,13.77,0.04
Luxembourg,11.75,8.84,12.16,11.24,9.34,9.55,9.74,0.03
Macao,0.98,1.2,1.62,1.18,1.1,1.2,1.27,0
Madagascar,0.7,1.42,2.22,2.2,3.82,4.39,4.2,0.01
Malawi,0.46,0.79,1.44,1.47,1.45,1.63,1.62,0
Malaysia,57.43,132.56,182.72,216.76,251.75,248.25,248.83,0.65
Maldives,0.07,0.38,0.48,0.88,0.82,0.86,0.91,0
Mali,0.39,0.5,0.55,0.58,0.9,0.99,1.03,0
Malta,2.35,2.16,2.77,2.63,1.7,1.03,1.04,0
Martinique,0.94,1.06,1.12,1.34,2.37,2,1.95,0.01
Mauritania,0.68,2.58,2.91,2.06,2.73,7.54,7.66,0.02
Mauritius,1.19,2.45,2.98,3.68,3.99,4.57,4.33,0.01
Mexico,290.97,397.57,448.78,479.3,491.57,493,485,1.28
Moldova,31.96,6.79,8.14,8.36,8.25,9.32,9.23,0.02
Mongolia,13.15,9.05,11.08,14.37,17.47,35.28,35.93,0.09
Morocco,22.43,33.49,44.41,52,61.77,66.74,73.91,0.19
Mozambique,1.18,1.6,2.7,3.68,6.6,8.97,9.26,0.02
Myanmar/Burma,4.47,10.08,11.22,8.57,25.32,46.87,48.31,0.13
Namibia,1.54,1.91,2.5,3.09,4.12,4.37,4.4,0.01
Nepal,1.1,3.42,3.3,4.81,6.57,14.45,15.02,0.04
Netherlands,161.19,176.45,181.38,185.48,168.99,161.91,156.41,0.41
New Caledonia,1.62,1.88,2.45,4.95,5.02,15.39,15.66,0.04
New Zealand,23.9,33.46,36.9,34.12,36.01,37,38.67,0.1
Nicaragua,1.97,3.77,4.32,4.67,5.57,5.67,5.86,0.02
Niger,0.91,0.7,0.8,1.43,2.15,2.31,2.36,0.01
Nigeria,74.76,100.01,100.26,90.52,89.43,97.67,100.22,0.26
North Korea,131.82,73.83,79.66,52.84,27.1,41.41,42.17,0.11
North Macedonia,11.21,9.05,9.71,9.17,8.01,7.78,8.92,0.02
Norway,37.32,42.84,44.15,46.72,45.79,48.65,47.99,0.13
Oman,15.58,25.32,33,52.51,79.86,90.81,92.78,0.24
Pakistan,65.33,109.38,132.44,152.76,169.78,220.69,223.63,0.59
Palau,2.15,2.12,1.73,2.11,1.2,1.25,1.33,0
Panama,2.74,5.21,7.2,9.44,11.57,11.23,11.63,0.03
Papua New Guinea,2.31,2.26,4.38,3.08,3.77,3.87,4.07,0.01
Paraguay,2.26,3.75,3.92,5.19,6.38,8.28,8.47,0.02
Peru,20.87,29.01,31.84,45.28,54.12,55.81,56.29,0.15
Philippines,43.92,76.74,81.64,87.36,116.51,144.64,150.64,0.4
Poland,371.38,312.2,315.89,327.84,304.2,332.44,317.65,0.84
Portugal,43.69,64.51,68.09,53.51,52.36,51.49,48.47,0.13
Puerto Rico,2.06,2.19,2.27,2.32,2.83,3.55,3.91,0.01
Qatar,17.01,31.74,43.44,69.82,97.26,104.54,106.53,0.28
Réunion,1.01,2.02,2.37,2.96,2.68,2.94,3.02,0.01
Romania,187.29,97.13,104.7,82.69,79.47,80.5,78.63,0.21
Russia,2393.66,1675.16,1734.03,1731.63,1730.5,1805.77,1792.02,4.71
Rwanda,0.53,0.62,0.75,0.79,0.95,1.12,1.15,0
Saint Helena. Ascension and Tristan da Cunha,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0
Saint Kitts and Nevis,0.03,0.04,0.06,0.14,0.24,0.2,0.19,0
Saint Lucia,0.08,0.17,0.16,0.21,0.36,0.3,0.3,0
Saint Pierre and Miquelon,0.15,0.03,0.03,0.04,0.08,0.06,0.06,0
Saint Vincent and the Grenadines,0.04,0.07,0.09,0.11,0.18,0.15,0.15,0
Samoa,0.13,0.11,0.12,0.12,0.13,0.13,0.14,0
São Tomé and Príncipe,0.05,0.05,0.06,0.13,0.14,0.16,0.16,0
Saudi Arabia,173.02,264.29,339.59,478.17,604,605.31,614.61,1.62
Senegal,2.4,4.04,5.8,7.05,8.38,9.56,9.81,0.03
Serbia and Montenegro,66.41,50.81,61.5,59.72,57.16,59.27,70.69,0.19
Seychelles,0.29,0.41,0.68,0.93,0.89,0.99,1.05,0
Sierra Leone,0.74,0.73,0.49,0.73,1.21,1.35,1.4,0
Singapore,31.58,45.22,42.94,51,51.34,52.67,53.37,0.14
Slovakia,60.55,42.33,42.16,39.93,34.66,38.2,35.99,0.09
Slovenia,16.62,15.7,18.33,17.9,15.11,15.94,15.37,0.04
Solomon Islands,0.13,0.17,0.19,0.18,0.13,0.13,0.14,0
Somalia,0.69,0.54,0.76,0.83,0.86,0.94,0.97,0
South Africa,312.5,345.34,433.27,465,477.75,487.54,494.86,1.3
South Korea,270.65,483.72,516.42,597.8,639.01,673.4,651.87,1.71
Spain and Andorra,230.35,312.1,369.12,288.29,271.21,271.76,259.31,0.68
Sri Lanka,4.25,11.46,14.53,13.82,21.53,25.44,27.57,0.07
Sudan and South Sudan,5.59,6.03,10.82,16.72,19.14,21.95,22.57,0.06
Suriname,0.91,1.49,1.69,1.72,2.12,2.01,2.06,0.01
Sweden,58.1,58.37,55.82,53.29,44.19,43.58,44.75,0.12
Switzerland and Liechtenstein,44.95,44.91,47.16,46.46,40.24,38.51,39.37,0.1
Syria,33.01,45.79,58.76,62.36,29.12,28.08,29.16,0.08
Taiwan,124.36,229.73,269.68,271.61,266.61,286.61,276.78,0.73
Tajikistan,12.27,2.81,3.28,3.13,5.34,7.57,8.92,0.02
Tanzania,2.11,3.1,5.9,7.19,12.93,13.1,13.34,0.04
Thailand,93.13,172,226.14,246.13,274.44,279.31,275.06,0.72
The Gambia,0.15,0.21,0.23,0.47,0.51,0.57,0.59,0
Timor-Leste,0.13,0.34,0.27,0.25,0.4,0.37,0.38,0
Togo,0.77,1.27,1.33,2.54,2.43,2.75,2.85,0.01
Tonga,0.06,0.11,0.12,0.18,0.12,0.12,0.13,0
Trinidad and Tobago,12.66,18.55,31.03,38.72,36.73,32.61,32.74,0.09
Tunisia,14.71,21.18,23.36,27.93,30.71,31.29,32.07,0.08
Turkey,150.16,227.41,246,308.8,364.82,422.21,415.78,1.09
Turkmenistan,45.63,39.36,52.94,61.62,75.45,82.83,90.52,0.24
Turks and Caicos Islands,0.01,0.01,0.01,0.11,0.17,0.14,0.13,0
Uganda,0.64,1.17,1.68,3.77,4.69,5.18,5.34,0.01
Ukraine,783.21,358.09,354.35,308.56,214.08,203.02,196.4,0.52
United Arab Emirates,56.92,88.38,122.4,171.86,201.84,215.88,222.61,0.59
United Kingdom,588.07,552.98,561.56,502.39,415.63,373.47,364.91,0.96
United States,5065.06,5917.36,5948.47,5567.64,5248.96,5243.74,5107.26,13.43
Uruguay,3.9,5.47,5.53,6.42,6.81,6.43,6.56,0.02
Uzbekistan,123.11,121.13,116.32,107.5,105.38,97.9,94.99,0.25
Vanuatu,0.13,0.06,0.06,0.12,0.08,0.08,0.09,0
Venezuela,102.57,132.66,152.61,189.14,168.69,122.58,110.06,0.29
Vietnam,20.48,56.37,99.82,155.22,204.46,257.38,305.25,0.8
Western Sahara,0.14,0.21,0.23,0.27,0.25,0.29,0.3,0
Yemen,6.89,15.5,21.78,26.1,13.94,10.55,10.89,0.03
Zambia,2.98,1.95,2.46,2.29,4.51,7.62,7.5,0.02
Zimbabwe,17.18,14.5,11.39,10,12.68,11.8,10.86,0.03
